VERTICES 28001
-72.575 57.672 -18.661
-71.909 56.837 -19.547
-26.190 -45.069 -22.232
-3.170 7.884 15.643
-3.557 7.095 15.414
-45.923 26.554 -15.773
-76.971 29.460 -24.947
-76.979 30.969 -24.364
-77.906 30.692 -23.698
-75.631 28.942 -20.326
-78.871 30.059 -18.028
-66.709 24.586 -23.430
-68.677 24.644 -24.868
-6.821 -44.716 19.001
-4.560 -47.315 15.525
-7.751 -50.785 15.165
8.277 -29.999 17.169
-19.676 1.059 8.201
-6.875 22.279 14.848
-7.696 22.008 13.715
-7.009 21.602 14.629
-20.307 -39.134 26.560
-20.184 -39.650 28.403
-24.323 -39.189 23.892
8.983 35.308 14.023
7.663 34.661 14.211
8.362 35.246 13.524
30.270 -44.421 -14.533
26.035 -43.279 -9.630
-11.045 -37.753 -21.913
-12.350 -37.242 -22.924
-3.325 -36.079 -21.909
-5.272 -36.776 -20.642
-40.841 -50.437 23.832
-51.074 -47.786 19.699
-7.057 41.584 16.479
-6.851 42.690 16.504
-7.413 40.907 16.410
-7.562 40.506 16.889
-7.228 41.424 16.836
-49.634 -15.576 16.056
-49.158 -14.677 15.446
-39.573 -21.967 16.515
-36.967 -23.838 17.577
55.315 -2.336 25.332
58.884 -1.116 24.283
56.050 -3.706 24.960
61.802 7.754 23.143
63.734 8.509 22.107
61.210 5.351 23.692
-8.166 47.268 32.883
-13.593 42.773 33.657
-64.834 -12.640 -8.189
-52.674 2.696 -10.028
-57.155 -41.424 13.479
-57.176 -40.974 12.806
-60.688 -44.162 8.953
86.361 -29.551 -20.140
86.607 -31.460 -18.878
87.342 -28.485 -17.753
78.609 -47.183 -20.203
79.622 -46.218 -18.705
43.778 42.732 11.533
40.916 42.138 12.010
51.112 41.501 14.302
52.681 41.264 14.199
51.218 40.465 15.113
-24.849 -14.793 3.028
-24.145 -15.270 2.957
-20.984 -1.632 7.779
-20.978 -0.779 7.445
61.913 -42.832 16.111
63.611 -42.953 14.322
45.383 -35.326 25.257
60.639 -54.129 9.166
62.391 -54.412 10.127
64.223 -54.834 3.901
59.168 -52.936 13.560
60.111 -52.976 15.750
72.592 -1.583 -3.366
70.716 -17.273 -7.834
69.117 -32.262 -8.432
71.046 -35.239 -6.715
70.323 -18.695 -7.716
35.296 -39.314 -18.468
33.102 -39.728 -17.419
40.048 -37.089 -28.714
38.857 -53.342 39.705
46.090 -39.698 29.812
49.856 -39.235 29.081
32.745 -46.219 -21.330
33.198 -45.765 -18.634
37.324 -39.804 -23.774
-68.424 50.644 -14.390
-68.591 51.324 -13.556
-65.810 52.209 -21.042
-66.191 51.585 -20.808
-36.399 43.201 -10.498
-31.900 43.250 -8.521
-69.779 52.848 -17.693
-70.391 53.563 -17.285
-71.719 53.080 -12.438
-72.205 53.694 -12.830
-16.971 65.810 -2.556
-15.551 66.106 -0.919
-24.011 53.757 -6.250
-19.730 56.398 0.329
-17.575 56.381 -0.529
-14.717 54.692 -3.473
-46.291 -48.944 -19.733
-47.034 -48.261 -20.619
-47.989 -46.815 -20.975
-43.886 -50.501 -18.843
-41.951 -50.954 -18.741
-41.979 -51.275 -19.774
27.832 -31.018 -0.816
28.249 -45.710 -3.630
78.446 -39.205 -4.903
77.579 -37.324 -4.919
77.750 -35.358 -4.388
78.064 -40.341 -4.268
38.966 7.347 12.502
39.427 5.912 12.202
-21.171 56.154 15.851
-19.545 56.178 14.679
-25.047 58.283 16.213
-24.757 59.230 16.194
-43.344 43.248 20.200
-44.604 42.663 19.253
-34.432 43.199 24.582
-30.132 40.303 26.550
-15.903 -52.114 32.219
-13.329 -48.593 31.980
-39.047 -50.718 26.722
-25.085 62.030 27.389
-25.287 62.552 27.713
-25.090 55.274 19.585
39.471 -51.181 -16.228
32.892 -53.108 -22.681
32.617 -52.086 -18.738
-8.139 -40.231 -22.013
-11.244 -35.162 -15.250
-13.825 -32.760 -15.771
-20.191 -55.887 29.887
52.761 -24.691 19.070
53.337 -26.095 17.271
55.438 -17.068 20.131
-55.894 32.854 1.475
-58.537 32.008 0.353
-54.544 32.169 10.008
-39.288 38.454 18.620
-40.173 38.699 16.668
-39.671 39.019 18.003
