VERTICES 2805
-45.698 -36.572 -40.761
-46.506 -42.420 -40.649
-66.564 -36.110 -5.012
27.363 -31.736 21.367
70.598 -37.335 -2.030
71.146 -37.506 -5.605
-49.352 -36.133 21.644
71.682 -50.079 -24.814
35.562 -5.967 8.103
-19.855 -18.525 8.251
-10.794 5.164 8.164
-18.908 10.384 -1.156
51.986 -27.262 -20.398
51.550 -27.239 -19.653
43.621 -39.742 -19.754
53.181 -52.384 -6.447
60.990 -53.504 -15.896
-21.620 -53.826 17.450
70.747 -20.765 -5.713
-42.512 38.412 14.476
-41.969 38.847 12.887
8.799 33.928 14.191
-64.212 -46.831 11.618
-64.680 -45.133 13.853
-12.521 -10.594 4.129
65.791 -41.824 2.002
-60.972 34.175 -14.987
-35.365 42.846 -3.018
25.432 36.819 5.025
43.928 39.237 9.982
15.207 -16.602 18.416
97.482 14.387 2.167
62.725 23.075 19.213
63.689 -14.938 6.309
51.981 -31.219 -24.500
44.410 9.105 -11.753
-79.534 39.869 -11.818
-55.990 54.162 -0.566
15.806 28.867 0.590
11.969 22.267 -2.130
68.616 -26.121 -8.291
-7.293 31.799 2.867
53.691 -13.491 -19.287
54.719 -14.843 -19.846
-26.935 -43.856 -25.964
48.870 -36.984 -23.465
-7.752 -55.193 -28.597
-3.893 -54.852 -29.320
-13.033 -12.938 -0.829
-12.403 -12.828 -1.184
19.887 -43.591 -17.042
26.245 -45.545 -15.794
72.686 -30.308 -27.637
-41.088 58.470 -3.077
